"Serial No.","Dealer Credit Code","newPpi_1(without QC)","newPpi_1(with QC)"
1148,0000108257,100,-
1149,0000109177,-,-
1150,0000109219,-,-
1151,0000107847,-,-
1152,0000109012,-,-
1153,0000176837,-,-
1154,0000108905,-,-
1155,0000100564,1150,-
1156,0000100671,5400,-
1157,0000107223,-,-
1158,0000108151,-,-
1159,0000135738,-,-
1160,0000108355,-,-
1161,0000281644,200,-
1162,0000100675,-,-
1163,0000195841,-,-
1164,0000107773,-,-
1165,0000107332,-,-
1166,0000100614,-,-
1167,0000107615,3900,-
1168,0000100691,-,-
1169,0000100666,-,-
1170,0000108895,-,-
1171,0000100565,-,-
1172,0000196112,-,-
1173,0000107913,425,-
1174,0000318285,100,-
1175,0000107211,-,-
1176,0000107617,425,-
1177,0000349183,-,-
1178,0000115959,-,-
1179,0000357900,-,-
1180,0000163180,-,-
1181,0000115425,-,-
1182,0000107987,-,-
1183,0000100865,-,-
1184,0000100687,-,-
1185,0000441431,-,-
1186,0000115424,-,-
1187,0000199711,-,-
1188,0000290627,-,-
1189,0000100587,1150,-
1190,0000154827,100,-
1191,0000107357,-,-
1192,0000115423,425,-
1193,0000108651,-,-
1194,0000353817,-,-
1195,0000201496,-,-
1196,0000108825,-,-
1197,0000181932,-,-
1198,0000333601,-,-
1199,0000109076,-,-
1200,0000107720,425,-
1201,0000100642,-,-
1202,0000108606,-,-
1203,0000107839,-,-
1204,0000455618,100,-
1205,0000107901,-,-
1206,0000326278,-,-
1207,0000107654,1150,-
1208,0000107981,-,-
1209,0000107303,-,-
1210,0000103503,-,-
1211,0000107512,1150,-
1212,0000148304,-,-
1213,0000109228,-,-
1214,0000107840,-,-
1215,0000103563,-,-
1216,0000295790,-,-
1217,0000107224,-,-
1218,0000108922,100,-
1219,0000107891,-,-
